                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                    nan,                    nan,                    nan,                0.73522,                0.38333,                0.39418,                0.22259,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                    nan,                    nan,                    nan,                0.55203,                0.38333,                0.39398,                0.22372,                    nan,                    nan,                    nan,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                    nan,                    nan,                    nan,                0.55203,                0.38333,                0.39398,                0.22372,                    nan,                    nan,                    nan,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                    nan,                    nan,                    nan,                0.55203,                0.38333,                0.39398,                0.22372,                    nan,                    nan,                    nan,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                    nan,                    nan,                    nan,                0.55203,                0.38333,                0.39398,                0.22372,                    nan,                    nan,                    nan,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                    nan,                    nan,                    nan,                0.55203,                0.38333,                0.39398,                0.22372,                    nan,                    nan,                    nan,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                    nan,                    nan,                    nan,                0.72642,                0.38333,                0.39357,                0.20707,                    nan,                    nan,                    nan,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                    nan,                    nan,                    nan,                0.72642,                0.38333,                0.39357,                0.20707,                    nan,                    nan,                    nan,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                    nan,                    nan,                    nan,                0.72642,                0.38333,                0.39357,                0.20707,                    nan,                    nan,                    nan,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                    nan,                    nan,                    nan,                0.72642,                0.38333,                0.39357,                0.20707,                    nan,                    nan,                    nan,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                    nan,                    nan,                    nan,                0.72642,                0.38333,                0.39357,                0.20707,                    nan,                    nan,                    nan,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.6845e-05,             2.6845e-05,             2.6845e-05
